,ETagGantryID,LinkID,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,LocationMile,RoadSectionStart,RoadSectionEnd
49,05FR113S,0000501005010G,4,121.78202,24.73379,000050,國道5號,0,S,11K+300,宜蘭(四城、大福),宜蘭(壯圍)
50,01H0447N,00001B0104400H,4,121.33207,25.059242,00001B,國道1號五股楊梅高架道路,0,N,44K+700,機場系統,高公局
51,03F1161N,0000300111600K,4,120.860085,24.698006,000030,國道3號,0,N,116K+100,竹南,西濱
52,01H0447S,00001B0004400H,4,121.331856,25.060125,00001B,國道1號五股楊梅高架道路,0,S,44K+700,高公局,機場系統
53,03F1161S,0000300011600K,4,120.860085,24.698006,000030,國道3號,0,S,116K+100,西濱,竹南
54,01F1123S,0000100011200K,4,120.90427,24.679317,000010,國道1號,0,S,112K+300,頭份,頭屋
55,01F1389S,0000100013800K,4,120.781906,24.48592,000010,國道1號,0,S,138K+900,苗栗,銅鑼
56,01F1123N,0000100111200K,4,120.90427,24.679317,000010,國道1號,0,N,112K+300,頭屋,頭份
57,03F1739S,0000300017400B,4,120.590805,24.269464,000030,國道3號,0,S,173K+900,清水服務區,沙鹿
58,01F0578S,0000100005750H,4,121.2332,24.984413,000010,國道1號,0,S,57K+800,內壢,中壢
59,01F0699S,0000100006970H,4,121.15976,24.903297,000010,國道1號,0,S,69K+900,楊梅,校前路
60,05F0309N,0000500103100G,4,121.78635,24.823656,000050,國道5號,0,N,30K+900,宜蘭(四城、大福),頭城
61,03F4259N,0000300142600T,4,120.53139,22.477465,000030,國道3號,0,N,425K+900,林邊,南州
62,05F0309S,0000500003100G,4,121.78635,24.823656,000050,國道5號,0,S,30K+900,頭城,宜蘭(四城、大福)
63,01F0699N,0000100106960H,4,121.15976,24.903297,000010,國道1號,0,N,69K+900,校前路,楊梅
64,03F2709N,0000300127100P,4,120.572914,23.649279,000030,國道3號,0,N,270K+900,古坑(朝陽路),古坑(文化路)&古坑系統
65,01H0579S,00001B0005700H,4,121.23253,24.984095,00001B,國道1號五股楊梅高架道路,0,S,57K+900,機場系統,中壢
66,01F1572N,0000100115700B,4,120.72085,24.339148,000010,國道1號,0,N,157K+200,后里,三義
67,01F3676N,0000100136800E,4,120.33622,22.62782,000010,國道1號,0,N,367K+600,高雄(中正、三多路),高雄(九如、建國路)
68,03F3496S,0000300035000D,4,120.32517,23.040203,000030,國道3號,0,S,349K+600,新化系統,關廟
69,01H0579N,00001B0105700H,4,121.23298,24.983667,00001B,國道1號五股楊梅高架道路,0,N,57K+900,中壢,機場系統
70,01F1572S,0000100015700B,4,120.72085,24.339148,000010,國道1號,0,S,157K+200,三義,后里
71,01F3676S,0000100036800E,4,120.33622,22.62782,000010,國道1號,0,S,367K+600,高雄(九如、建國路),高雄(中正、三多路)
72,01F3640S,0000100036400E,4,120.332085,22.658892,000010,國道1號,0,S,364K+000,鼎金系統,高雄(九如、建國路)
73,01H0163S,00001A0001600A,4,121.59873,25.064007,00001A,國道1號汐止五股高架道路,0,S,16K+300,汐止&汐止系統,堤頂
74,01F3640N,0000100136400E,4,120.332085,22.658892,000010,國道1號,0,N,364K+000,高雄(九如、建國路),鼎金系統
75,03F2153N,0000300121510N,4,120.66316,24.018944,000030,國道3號,0,N,215K+300,草屯,霧峰系統
76,01F2249N,0000100122500N,4,120.48488,23.830568,000010,國道1號,0,N,224K+900,西螺,北斗
77,01F2714S,0000100027110Q,4,120.361565,23.436367,000010,國道1號,0,S,271K+400,水上,嘉義系統
78,05F0528N,0000500105300G,4,121.80696,24.632729,000050,國道5號,0,N,52K+800,蘇澳,羅東
79,01F0880N,0000100108800J,4,121.01903,24.848719,000010,國道1號,0,N,88K+000,竹北,湖口
80,03F3307N,0000300133100D,4,120.35546,23.203276,000030,國道3號,0,N,330K+700,官田系統,烏山頭
81,01F0880S,0000100008800J,4,121.01903,24.848719,000010,國道1號,0,S,88K+000,湖口,竹北
82,03F1215N,0000300112100K,4,120.83824,24.655964,000030,國道3號,0,N,121K+500,大山,竹南
