VDID,SubAuthorityCode,BiDirectional,PositionLon,PositionLat,RoadName,LocationMile,LinkID,Bearing,RoadDirection,LaneNum,ActualLaneNum
VD-N5-N-54-L-蘇澳-馬賽路-2-IMAGE,NFB-PL,0,121.82775,24.618082,馬賽路,54K+000,6309230100070G,NE,NE,1,1
VD-N3-N-279-I-EN-2-Loop,NFB-SR,0,120.523806,23.595417,國道3號,279K+000,0000301153030Q,N,N,1,1
VD-N1-S-9-B-汐止收費站,NFB-NR,0,121.66275,25.07827,國道1號,9K+000,0000100000900F,SW,S,1,1
VD-N1-N-135.835-M-RS,NFB-CR,0,120.80002,24.505226,國道1號,135K+835,0000100113500K,NE,N,3,3
VD-N5-S-27.748-M-LOOP,NFB-PL,0,121.79097,24.851341,國道5號,27K+748,0000500002700G,S,S,2,2
VD-N1-S-122.090-M-RS,NFB-CR,0,120.86509,24.608412,國道1號,122K+090,0000100012200K,S,S,4,4
VD-N3-N-246.241-M-RS,NFB-CR,0,120.69833,23.778254,國道3號,246K+241,0000300124600M,E,N,3,3
VD-N3-T-31-A-E-21-安坑,NFB-NR,0,121.51958,24.964376,國道3號,31K+000,0000301110050F,SW,N,1,1
VD-N3-N-176-O-SE-21-北上出口-台中,NFB-CR,0,120.5922739,24.24844558,國道3號,176K+000,0000301134010B,NE,N,1,1
VD-N5-N-54-L-蘇澳-馬賽路-2.5-IMAGE,NFB-PL,0,121.83057,24.621508,馬賽路,54K+000,6309230100040G,NE,NE,2,2
VD-N3-S-235.741-M-LOOP,NFB-CR,0,120.70337,23.86557,國道3號,235K+741,0000300023500M,S,S,4,4
VD-N1-N-268.650-M-RS,NFB-SR,0,120.37592,23.461208,國道1號,268K+650,0000100126800Q,N,N,3,3
VD-N3-S-79-O-NE-1-關西,NFB-NR,0,121.17428,24.800219,國道3號,79K+000,0000301020000J,W,S,1,1
VD-N1-S-207-I-WS-1B-南下入口,NFB-CR,0,120.5066766,23.9815067,國道1號,207K+000,0000101046050N,S,S,1,1
VD-N1-S-270.550-N-Loop,NFB-SR,0,120.36802,23.446012,國道1號,270K+550,0000100027040Q,SW,S,3,3
VD-N1-N-279.984-M-Loop,NFB-SR,0,120.34596,23.365467,國道1號,279K+984,0000100127900D,NE,N,3,3
VD-N1-N-150.410-M-LOOP,NFB-CR,0,120.757025,24.390946,國道1號,150K+410,0000100115020K,NE,N,4,4
VD-N1-N-89.990-M-RS,NFB-NR,0,121.02155,24.83202,國道1號,89K+990,0000100108900J,N,N,4,4
VD-N1-S-67-O-NW-1-幼獅,NFB-NR,0,121.17216,24.92642,國道1號,67K+000,0000101024000H,SW,S,1,1
VD-N1-N-160-I-WN-11-北上入口1,NFB-CR,0,120.7063307,24.31943286,國道1號,160K+000,0000101136040B,N,N,1,1
